airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-24,kolkata,banglore,19:45:00,04:45:00,540,1.0,no info,13759
Multiple Carriers,2019-03-03,delhi,cochin,09:45:00,22:20:00,755,1.0,no info,13838
Indigo,2019-03-09,delhi,cochin,21:05:00,01:45:00,280,1.0,no info,6937
Jet Airways,2019-03-12,banglore,new delhi,05:45:00,21:20:00,935,1.0,no info,13817
Air Asia,2019-06-12,banglore,delhi,23:55:00,02:45:00,170,0.0,no info,3383
Multiple Carriers,2019-05-27,delhi,cochin,12:50:00,21:00:00,490,1.0,no info,7005
Jet Airways,2019-06-27,delhi,cochin,14:35:00,12:35:00,1320,2.0,no info,13376
Indigo,2019-06-09,kolkata,banglore,15:15:00,17:45:00,150,0.0,no info,5224
Indigo,2019-04-18,banglore,delhi,01:30:00,04:15:00,165,0.0,no info,4591
Multiple Carriers,2019-05-21,delhi,cochin,10:00:00,19:00:00,540,1.0,no info,10197
Multiple Carriers,2019-05-09,delhi,cochin,11:25:00,19:00:00,455,1.0,no info,9103
Indigo,2019-03-01,kolkata,banglore,20:25:00,23:05:00,160,0.0,no info,4778
Jet Airways,2019-06-01,delhi,cochin,22:50:00,12:35:00,825,1.0,no info,14714
Indigo,2019-03-24,banglore,new delhi,22:20:00,01:10:00,170,0.0,no info,4377
Jet Airways,2019-05-21,delhi,cochin,21:50:00,04:25:00,395,1.0,no info,16079
Jet Airways,2019-06-01,delhi,cochin,09:40:00,19:00:00,560,2.0,in-flight meal not included,10368
Vistara,2019-05-01,chennai,kolkata,07:05:00,09:20:00,135,0.0,no info,3687
Multiple Carriers,2019-06-03,delhi,cochin,10:20:00,19:00:00,520,1.0,no info,11789
Multiple Carriers,2019-05-15,delhi,cochin,19:00:00,01:30:00,390,1.0,no info,8073
Air India,2019-03-01,banglore,new delhi,08:50:00,10:35:00,1545,2.0,no info,31783
Jet Airways,2019-05-21,delhi,cochin,09:00:00,19:00:00,600,1.0,no info,16079
Jet Airways,2019-03-09,delhi,cochin,21:50:00,18:50:00,1260,1.0,no info,15764
Spicejet,2019-03-27,chennai,kolkata,17:45:00,20:05:00,140,0.0,no info,3384
Indigo,2019-04-18,banglore,delhi,10:10:00,13:00:00,170,0.0,no info,4591
Indigo,2019-06-09,banglore,delhi,22:10:00,01:00:00,170,0.0,no info,3749
Indigo,2019-03-03,banglore,new delhi,20:00:00,22:55:00,175,0.0,no info,6860
Indigo,2019-06-15,delhi,cochin,07:35:00,16:10:00,515,1.0,no info,6442
Multiple Carriers,2019-06-15,delhi,cochin,03:50:00,19:00:00,910,1.0,no info,12192
Jet Airways,2019-04-01,mumbai,hyderabad,07:05:00,08:30:00,85,0.0,no info,8040
Jet Airways,2019-06-09,kolkata,banglore,14:05:00,22:35:00,510,1.0,in-flight meal not included,10844
Air India,2019-05-27,delhi,cochin,05:15:00,06:50:00,1535,1.0,no info,8425
Jet Airways,2019-06-15,delhi,cochin,17:30:00,19:00:00,1530,1.0,in-flight meal not included,10262
Spicejet,2019-06-12,kolkata,banglore,09:00:00,11:25:00,145,0.0,no info,3873
Air India,2019-05-21,delhi,cochin,09:00:00,19:15:00,615,1.0,no info,8372
Air Asia,2019-05-06,kolkata,banglore,19:55:00,22:25:00,150,0.0,no info,4409
Multiple Carriers,2019-03-21,delhi,cochin,10:20:00,01:35:00,915,1.0,no info,7695
Air India,2019-03-01,banglore,new delhi,08:50:00,23:25:00,2315,2.0,no info,25430
Indigo,2019-03-09,delhi,cochin,06:40:00,16:10:00,570,1.0,no info,6442
Jet Airways,2019-05-15,kolkata,banglore,16:30:00,22:35:00,365,1.0,in-flight meal not included,10844
Air India,2019-06-03,delhi,cochin,09:45:00,23:00:00,795,1.0,no info,8907
Jet Airways,2019-03-24,kolkata,banglore,19:45:00,18:10:00,1345,1.0,no info,13759
Jet Airways,2019-05-24,kolkata,banglore,09:35:00,21:05:00,690,1.0,no info,14151
Multiple Carriers,2019-05-15,delhi,cochin,07:30:00,21:00:00,810,1.0,no info,8405
Jet Airways,2019-03-09,delhi,cochin,10:45:00,04:25:00,1060,2.0,in-flight meal not included,15654
Jet Airways,2019-03-01,mumbai,hyderabad,10:20:00,11:50:00,90,0.0,no info,10875
Jet Airways,2019-05-21,mumbai,hyderabad,19:35:00,21:05:00,90,0.0,no info,5678
Multiple Carriers,2019-05-27,delhi,cochin,15:00:00,01:30:00,630,1.0,no info,13377
Indigo,2019-06-12,delhi,cochin,02:00:00,07:25:00,325,1.0,no info,5636
Goair,2019-06-27,delhi,cochin,14:25:00,19:35:00,310,1.0,no info,7870
Multiple Carriers,2019-06-24,delhi,cochin,13:00:00,01:30:00,750,1.0,no info,13377
